Order ID,City,Dark Store ID,Product Category,Delivery Time,Traffic Level,Delivery Partner Rating,Customer Rating,Inventory Wastage %,Cancellation Status,Stock Availability,Delivery Distance,Order Value,Peak Hour,Weather Condition
ORD1030,Bangalore,DS-BL-02,Frozen Food,38,Medium,4.0,3.3,4.0,No,In Stock,4.9,1519,No,Rainy
ORD1031,Ahmedabad,DS-AH-02,Household,35,Medium,3.9,4.2,3.5,No,In Stock,9.6,1162,No,Rainy
ORD1032,Pune,DS-PN-01,Dairy,31,Low,4.2,4.4,6.3,No,Low Stock,4.5,1836,Yes,Rainy
ORD1033,Hyderabad,DS-HY-01,Grocery,42,High,4.7,3.5,2.9,No,In Stock,9.3,697,Yes,Foggy
ORD1034,Ahmedabad,DS-AH-01,Household,31,Medium,4.7,4.4,2.7,Yes,Out of Stock,2.4,2144,No,Foggy
ORD1035,Ahmedabad,DS-AH-02,Dairy,39,High,3.9,2.6,5.1,No,In Stock,3.9,2412,No,Foggy
ORD1036,Delhi,DS-DL-02,Snacks,27,Low,4.0,4.0,1.2,No,Low Stock,4.5,280,Yes,Rainy
ORD1037,Kolkata,DS-KL-02,Grocery,45,High,4.3,3.6,4.2,No,Low Stock,5.4,1317,No,Foggy
ORD1038,Kolkata,DS-KL-02,Grocery,41,Medium,4.9,4.0,3.1,Yes,Out of Stock,7.0,543,No,Rainy
ORD1039,Kolkata,DS-KL-01,Household,20,Low,3.8,4.5,4.0,No,In Stock,7.8,1926,No,Foggy
ORD1040,Pune,DS-PN-01,Household,25,Low,3.6,5.0,1.2,No,In Stock,3.2,283,Yes,Cloudy
ORD1041,Bangalore,DS-BL-02,Snacks,41,Medium,4.7,2.8,3.4,No,Low Stock,2.0,870,Yes,Rainy
ORD1042,Pune,DS-PN-01,Pet Supplies,21,Low,4.9,4.4,3.4,No,Low Stock,3.2,1435,No,Foggy
ORD1043,Delhi,DS-DL-01,Personal Care,30,Medium,4.5,3.5,2.7,No,In Stock,4.9,1683,No,Clear
ORD1044,Ahmedabad,DS-AH-03,Snacks,29,Medium,4.2,4.2,2.1,No,Low Stock,8.5,554,No,Foggy
ORD1045,Pune,DS-PN-02,Dairy,32,High,4.2,3.8,6.0,No,In Stock,3.3,1345,No,Cloudy
ORD1046,Pune,DS-PN-03,Grocery,32,Medium,4.1,4.1,2.0,No,In Stock,7.4,2035,Yes,Clear
ORD1047,Mumbai,DS-MH-01,Fruits & Vegetables,31,Low,4.1,4.1,2.4,Yes,Out of Stock,4.2,2058,Yes,Cloudy
ORD1048,Pune,DS-PN-02,Fruits & Vegetables,23,Low,4.3,4.8,1.7,No,In Stock,5.4,2348,Yes,Cloudy
ORD1049,Pune,DS-PN-01,Dairy,22,Low,4.6,4.3,4.2,No,In Stock,3.6,717,No,Rainy
ORD1050,Ahmedabad,DS-AH-01,Grocery,29,Medium,4.0,4.5,2.0,No,Low Stock,2.0,467,No,Foggy
ORD1051,Kolkata,DS-KL-02,Beverages,39,Medium,4.9,2.6,2.0,No,In Stock,4.7,1124,Yes,Rainy
ORD1052,Kolkata,DS-KL-02,Household,24,Low,4.4,4.7,4.0,Yes,Out of Stock,2.9,532,No,Cloudy
ORD1053,Bangalore,DS-BL-02,Snacks,33,Medium,4.5,4.0,1.1,No,In Stock,3.5,2059,Yes,Clear
ORD1054,Delhi,DS-DL-02,Fruits & Vegetables,41,High,3.8,2.7,2.1,No,In Stock,1.5,1459,Yes,Foggy
ORD1055,Pune,DS-PN-02,Beverages,26,Medium,4.3,4.0,1.3,No,In Stock,4.9,1520,No,Foggy
ORD1056,Pune,DS-PN-01,Beverages,26,Low,4.6,3.7,3.1,No,In Stock,3.5,1985,Yes,Cloudy
ORD1057,Ahmedabad,DS-AH-01,Household,32,Medium,3.7,3.7,2.6,No,In Stock,7.0,1840,No,Cloudy
ORD1058,Mumbai,DS-MH-04,Beverages,34,Medium,4.1,4.0,5.0,No,In Stock,5.9,1892,No,Clear
ORD1059,Mumbai,DS-MH-02,Baby Care,34,Medium,3.6,3.8,1.5,No,In Stock,8.9,2185,No,Foggy
ORD1060,Delhi,DS-DL-01,Pet Supplies,51,High,4.3,2.6,5.0,Yes,Out of Stock,2.1,830,Yes,Cloudy
ORD1061,Ahmedabad,DS-AH-03,Fruits & Vegetables,35,Medium,4.2,4.0,2.8,No,In Stock,2.7,2281,No,Foggy
ORD1062,Bangalore,DS-BL-01,Fruits & Vegetables,48,High,3.9,2.5,3.9,Yes,Low Stock,6.9,808,No,Cloudy
ORD1063,Ahmedabad,DS-AH-03,Household,27,Medium,4.8,4.5,2.0,No,In Stock,8.7,1882,No,Foggy
ORD1064,Mumbai,DS-MH-03,Household,36,High,4.2,2.6,3.0,No,In Stock,8.8,2003,No,Foggy
ORD1065,Delhi,DS-DL-04,Grocery,40,High,4.7,2.9,3.5,No,In Stock,1.7,1545,No,Rainy
ORD1066,Kolkata,DS-KL-02,Household,46,High,4.5,2.9,1.9,No,In Stock,7.8,611,Yes,Clear
ORD1067,Ahmedabad,DS-AH-01,Fruits & Vegetables,37,High,4.0,3.1,2.0,No,In Stock,7.1,937,Yes,Cloudy
ORD1068,Bangalore,DS-BL-02,Beverages,36,Medium,3.7,3.2,2.0,No,In Stock,1.1,2105,No,Rainy
ORD1069,Pune,DS-PN-03,Baby Care,24,Low,3.9,5.0,3.8,No,In Stock,3.7,1775,No,Cloudy
ORD1070,Ahmedabad,DS-AH-01,Dairy,33,Medium,3.9,4.5,6.6,No,In Stock,6.1,400,No,Cloudy
ORD1071,Ahmedabad,DS-AH-02,Dairy,36,Medium,4.4,3.5,6.9,No,In Stock,8.5,597,No,Rainy
ORD1072,Mumbai,DS-MH-03,Household,21,Low,4.0,4.5,1.8,No,Low Stock,8.9,1698,No,Rainy
ORD1073,Pune,DS-PN-01,Fruits & Vegetables,42,High,4.7,3.2,1.3,No,Low Stock,3.0,1827,No,Cloudy
ORD1074,Chennai,DS-CH-01,Frozen Food,27,Low,4.6,3.8,5.5,No,In Stock,4.3,1157,Yes,Foggy
ORD1075,Ahmedabad,DS-AH-01,Pet Supplies,40,High,4.9,3.0,2.6,No,In Stock,9.5,1446,No,Rainy
ORD1076,Ahmedabad,DS-AH-01,Beverages,26,Low,4.5,4.2,4.8,No,In Stock,7.7,832,Yes,Foggy
ORD1077,Kolkata,DS-KL-03,Beverages,33,High,4.5,3.7,2.8,No,In Stock,4.3,1704,No,Cloudy
ORD1078,Chennai,DS-CH-01,Frozen Food,23,Low,3.8,4.7,7.9,No,In Stock,4.0,715,Yes,Foggy
ORD1079,Hyderabad,DS-HY-01,Baby Care,32,Low,4.7,4.1,2.1,No,Out of Stock,5.9,914,Yes,Rainy
ORD1080,Delhi,DS-DL-01,Snacks,18,Low,3.9,4.3,2.7,No,In Stock,1.6,2036,Yes,Cloudy
ORD1081,Chennai,DS-CH-03,Pet Supplies,31,Low,4.0,4.1,1.1,No,Out of Stock,4.8,642,Yes,Clear
ORD1082,Ahmedabad,DS-AH-03,Household,27,Low,3.6,3.8,3.5,No,In Stock,3.9,2373,Yes,Cloudy
ORD1083,Pune,DS-PN-02,Baby Care,42,Medium,4.5,3.7,3.9,No,In Stock,5.1,1135,Yes,Clear
ORD1084,Kolkata,DS-KL-02,Household,32,Medium,4.5,3.9,1.6,Yes,Out of Stock,8.5,581,Yes,Cloudy
ORD1085,Kolkata,DS-KL-01,Personal Care,40,High,4.0,3.5,4.0,No,Low Stock,7.5,1378,Yes,Cloudy
ORD1086,Pune,DS-PN-02,Beverages,41,Medium,4.8,3.0,3.2,No,In Stock,3.5,1126,Yes,Rainy
ORD1087,Kolkata,DS-KL-03,Pet Supplies,25,Medium,3.9,4.8,4.7,No,In Stock,2.6,786,Yes,Cloudy
ORD1088,Kolkata,DS-KL-01,Snacks,51,High,4.1,3.2,1.6,Yes,In Stock,9.5,547,Yes,Clear
ORD1089,Mumbai,DS-MH-02,Snacks,45,High,4.5,3.2,2.8,No,In Stock,7.8,666,Yes,Clear
ORD1090,Chennai,DS-CH-02,Beverages,15,Low,3.8,5.0,1.2,No,In Stock,9.5,762,No,Cloudy
ORD1091,Pune,DS-PN-02,Personal Care,17,Low,3.7,4.6,1.9,No,In Stock,7.0,1650,No,Foggy
ORD1092,Delhi,DS-DL-04,Grocery,35,Medium,4.0,3.9,2.6,No,In Stock,3.6,1859,No,Clear
ORD1093,Mumbai,DS-MH-03,Snacks,34,High,4.2,3.6,2.7,No,In Stock,1.7,1470,No,Cloudy
ORD1094,Chennai,DS-CH-01,Personal Care,54,High,3.8,3.7,2.4,Yes,Out of Stock,2.3,621,Yes,Clear
ORD1095,Bangalore,DS-BL-03,Dairy,25,Low,4.4,4.6,6.3,No,In Stock,7.1,1523,Yes,Clear
ORD1096,Chennai,DS-CH-01,Household,19,Low,4.4,4.5,1.3,No,In Stock,1.3,1710,No,Cloudy
ORD1097,Pune,DS-PN-01,Beverages,31,Medium,4.3,4.3,4.6,No,In Stock,8.3,971,No,Foggy
ORD1098,Chennai,DS-CH-03,Household,31,Medium,4.8,3.8,3.9,No,In Stock,2.6,1214,Yes,Foggy
ORD1099,Ahmedabad,DS-AH-02,Baby Care,31,Medium,4.1,4.3,3.7,No,In Stock,6.7,1570,Yes,Cloudy
ORD1100,Delhi,DS-DL-03,Beverages,26,Medium,4.6,4.2,4.6,No,Low Stock,4.0,779,No,Cloudy
ORD1101,Chennai,DS-CH-02,Frozen Food,28,Low,4.5,3.8,4.5,No,Low Stock,9.5,2356,Yes,Cloudy
ORD1102,Delhi,DS-DL-04,Baby Care,24,Medium,4.9,4.5,4.1,No,In Stock,10.0,834,No,Cloudy
ORD1103,Delhi,DS-DL-03,Beverages,40,Medium,3.7,3.1,1.6,No,Low Stock,7.9,878,Yes,Cloudy
ORD1104,Ahmedabad,DS-AH-01,Frozen Food,35,Medium,4.6,4.3,4.9,No,In Stock,9.7,2121,Yes,Foggy
ORD1105,Hyderabad,DS-HY-02,Pet Supplies,44,High,4.3,3.1,1.6,No,In Stock,6.4,1224,No,Cloudy
ORD1106,Mumbai,DS-MH-04,Personal Care,28,Medium,4.6,3.8,4.6,No,In Stock,4.9,1109,Yes,Clear
ORD1107,Ahmedabad,DS-AH-02,Grocery,25,Medium,4.1,4.3,1.9,No,In Stock,1.9,1573,No,Cloudy
ORD1108,Bangalore,DS-BL-02,Grocery,28,Low,4.4,4.4,1.1,No,In Stock,2.3,2361,No,Rainy
ORD1109,Kolkata,DS-KL-01,Fruits & Vegetables,23,Low,4.5,4.7,1.3,No,Low Stock,5.5,2395,Yes,Clear
ORD1110,Mumbai,DS-MH-02,Snacks,24,Low,4.1,4.7,1.3,Yes,Out of Stock,5.7,2278,Yes,Cloudy
ORD1111,Mumbai,DS-MH-04,Household,19,Low,4.6,4.5,1.3,No,In Stock,6.9,624,No,Cloudy
ORD1112,Chennai,DS-CH-01,Grocery,41,Medium,5.0,3.2,1.7,No,In Stock,7.4,2074,No,Rainy
ORD1113,Mumbai,DS-MH-03,Dairy,24,Low,4.3,5.0,6.2,No,In Stock,7.8,982,Yes,Clear
ORD1114,Pune,DS-PN-02,Grocery,35,High,4.7,3.9,2.6,No,In Stock,9.6,1588,No,Cloudy
ORD1115,Bangalore,DS-BL-04,Household,33,Medium,4.1,3.9,5.0,No,In Stock,3.6,620,No,Clear
ORD1116,Delhi,DS-DL-03,Fruits & Vegetables,39,Medium,4.0,2.6,4.5,No,In Stock,10.0,1324,No,Rainy
ORD1117,Mumbai,DS-MH-01,Frozen Food,32,Medium,4.4,4.3,4.1,No,In Stock,8.0,1700,Yes,Clear
ORD1118,Chennai,DS-CH-02,Pet Supplies,24,Low,4.2,4.3,1.6,No,In Stock,3.8,1341,Yes,Foggy
ORD1119,Hyderabad,DS-HY-01,Grocery,49,High,3.7,3.7,3.8,Yes,In Stock,7.2,2211,No,Foggy
ORD1120,Hyderabad,DS-HY-01,Snacks,49,High,4.7,4.0,4.9,No,In Stock,5.9,1389,No,Rainy
ORD1121,Pune,DS-PN-01,Snacks,46,High,3.7,3.7,1.1,Yes,In Stock,8.2,2459,Yes,Clear
ORD1122,Bangalore,DS-BL-01,Beverages,34,Medium,4.1,4.1,1.5,No,In Stock,1.7,2108,No,Foggy
ORD1123,Chennai,DS-CH-01,Baby Care,37,Medium,4.7,3.3,2.2,No,In Stock,9.4,1123,Yes,Rainy
ORD1124,Chennai,DS-CH-03,Fruits & Vegetables,54,High,3.7,3.0,3.1,Yes,In Stock,9.5,831,No,Rainy
ORD1125,Bangalore,DS-BL-03,Pet Supplies,22,Low,4.7,4.4,1.8,No,In Stock,6.6,324,Yes,Clear
ORD1126,Ahmedabad,DS-AH-03,Baby Care,18,Low,4.7,4.7,2.2,No,In Stock,1.5,2000,No,Foggy
ORD1127,Kolkata,DS-KL-02,Household,27,Low,5.0,3.8,2.6,No,Low Stock,5.6,634,Yes,Cloudy
ORD1128,Chennai,DS-CH-01,Household,20,Low,3.6,5.0,4.5,No,In Stock,9.7,854,No,Rainy
ORD1129,Chennai,DS-CH-03,Personal Care,28,Low,4.2,3.8,1.1,Yes,Out of Stock,9.7,1081,Yes,Foggy
ORD1130,Chennai,DS-CH-01,Grocery,23,Low,3.5,4.3,1.5,No,In Stock,4.3,1851,No,Cloudy
ORD1131,Chennai,DS-CH-01,Frozen Food,27,Low,3.6,4.0,7.1,No,In Stock,9.9,686,Yes,Cloudy
ORD1132,Bangalore,DS-BL-01,Frozen Food,34,Medium,3.7,4.1,5.6,No,In Stock,1.4,1564,No,Cloudy
ORD1133,Ahmedabad,DS-AH-03,Household,28,Low,3.7,4.5,4.0,No,In Stock,4.0,2287,Yes,Cloudy
ORD1134,Ahmedabad,DS-AH-03,Pet Supplies,27,Low,3.7,3.9,2.2,No,Low Stock,8.8,309,Yes,Cloudy
ORD1135,Ahmedabad,DS-AH-02,Pet Supplies,30,Medium,4.4,4.1,4.4,No,In Stock,7.1,329,Yes,Foggy
ORD1136,Delhi,DS-DL-02,Grocery,32,Medium,4.1,4.3,4.7,No,Low Stock,7.6,455,No,Rainy
ORD1137,Bangalore,DS-BL-02,Baby Care,27,Medium,4.9,4.0,3.1,No,In Stock,7.1,1282,No,Foggy
ORD1138,Ahmedabad,DS-AH-01,Dairy,24,Low,4.6,4.8,6.0,No,In Stock,6.0,1320,No,Rainy
ORD1139,Pune,DS-PN-01,Pet Supplies,35,Medium,4.0,4.3,1.6,No,In Stock,9.6,523,No,Foggy
ORD1140,Chennai,DS-CH-02,Fruits & Vegetables,60,High,4.5,2.7,3.5,Yes,In Stock,7.0,2375,Yes,Rainy
ORD1141,Hyderabad,DS-HY-03,Dairy,22,Low,3.7,4.8,4.0,No,In Stock,9.4,1866,No,Cloudy
ORD1142,Ahmedabad,DS-AH-02,Dairy,41,High,4.5,3.9,4.4,No,In Stock,5.8,352,No,Cloudy
ORD1143,Bangalore,DS-BL-04,Snacks,50,High,4.9,3.9,4.7,Yes,Low Stock,6.1,639,Yes,Foggy
ORD1144,Chennai,DS-CH-02,Household,54,High,3.9,3.7,2.3,Yes,Low Stock,7.5,257,No,Rainy
ORD1145,Chennai,DS-CH-02,Pet Supplies,45,Medium,4.7,3.3,1.3,No,In Stock,2.7,775,Yes,Rainy
ORD1146,Ahmedabad,DS-AH-02,Dairy,27,Low,4.9,3.8,6.9,No,In Stock,6.9,1167,No,Rainy
ORD1147,Mumbai,DS-MH-01,Household,33,Medium,3.7,4.4,2.2,No,In Stock,3.0,747,No,Cloudy
ORD1148,Ahmedabad,DS-AH-01,Household,49,High,4.9,3.6,4.2,No,Low Stock,7.1,535,No,Foggy
ORD1149,Ahmedabad,DS-AH-03,Personal Care,29,Low,3.8,4.0,1.7,No,Low Stock,5.0,1041,Yes,Clear
ORD1150,Ahmedabad,DS-AH-01,Baby Care,30,Medium,4.1,4.1,3.2,No,In Stock,3.8,289,Yes,Foggy
ORD1151,Kolkata,DS-KL-02,Grocery,49,High,4.6,3.3,1.2,No,Low Stock,5.2,1375,Yes,Clear
ORD1152,Kolkata,DS-KL-01,Snacks,44,High,4.2,3.9,2.5,No,In Stock,9.7,2408,No,Cloudy
ORD1153,Bangalore,DS-BL-03,Beverages,21,Low,4.6,5.0,2.9,No,Low Stock,4.8,1753,No,Rainy
ORD1154,Hyderabad,DS-HY-01,Household,36,Medium,3.5,3.5,3.5,No,Out of Stock,3.2,475,No,Rainy
ORD1155,Delhi,DS-DL-01,Household,41,Medium,4.2,3.3,4.0,No,Low Stock,2.3,1384,Yes,Rainy
ORD1156,Hyderabad,DS-HY-03,Pet Supplies,30,Medium,5.0,4.0,2.7,No,In Stock,6.0,917,No,Rainy
ORD1157,Kolkata,DS-KL-03,Household,23,Low,4.0,4.5,1.6,No,In Stock,7.8,2139,No,Foggy
ORD1158,Hyderabad,DS-HY-01,Fruits & Vegetables,39,High,4.1,3.1,3.1,No,In Stock,3.3,1552,Yes,Foggy
ORD1159,Delhi,DS-DL-04,Personal Care,24,Low,4.5,4.7,4.5,No,In Stock,7.9,2489,Yes,Clear
ORD1160,Hyderabad,DS-HY-02,Dairy,32,High,3.8,3.7,7.0,No,Low Stock,7.8,1193,No,Cloudy
ORD1161,Hyderabad,DS-HY-02,Dairy,29,Medium,4.3,3.9,5.0,No,In Stock,5.5,603,No,Foggy
ORD1162,Ahmedabad,DS-AH-02,Dairy,31,Medium,4.8,4.2,4.1,No,In Stock,6.3,1910,No,Clear
ORD1163,Pune,DS-PN-01,Dairy,36,Medium,4.5,3.5,5.0,No,Low Stock,9.7,2209,No,Rainy
ORD1164,Ahmedabad,DS-AH-01,Personal Care,26,Low,4.3,4.3,1.3,No,Low Stock,1.4,226,No,Rainy
ORD1165,Kolkata,DS-KL-01,Dairy,24,Low,4.2,4.2,6.6,No,Out of Stock,6.9,264,Yes,Clear
ORD1166,Mumbai,DS-MH-04,Grocery,15,Low,4.3,4.8,2.7,Yes,Out of Stock,9.3,2347,No,Cloudy
ORD1167,Bangalore,DS-BL-02,Dairy,26,Medium,4.7,3.6,7.8,No,In Stock,3.2,1125,No,Cloudy
ORD1168,Pune,DS-PN-03,Beverages,33,Medium,4.1,4.0,3.5,No,Low Stock,1.7,1977,Yes,Clear
ORD1169,Chennai,DS-CH-03,Beverages,53,High,4.2,2.6,1.3,No,Out of Stock,6.1,334,Yes,Rainy
ORD1170,Bangalore,DS-BL-03,Grocery,38,High,3.7,2.9,4.3,No,In Stock,9.1,1558,Yes,Foggy
ORD1171,Kolkata,DS-KL-03,Snacks,35,High,4.2,4.3,2.4,No,Low Stock,9.6,1824,Yes,Cloudy
ORD1172,Chennai,DS-CH-01,Fruits & Vegetables,39,High,4.0,3.9,2.7,No,In Stock,6.9,551,No,Foggy
ORD1173,Pune,DS-PN-01,Beverages,28,Low,4.6,3.8,1.4,No,In Stock,3.8,1674,Yes,Foggy
ORD1174,Pune,DS-PN-01,Snacks,23,Low,4.3,4.5,1.1,No,In Stock,1.8,1528,No,Foggy
ORD1175,Kolkata,DS-KL-01,Fruits & Vegetables,41,Medium,4.5,2.8,2.1,No,In Stock,2.3,884,Yes,Rainy
ORD1176,Kolkata,DS-KL-02,Frozen Food,22,Low,4.6,4.6,6.5,No,In Stock,2.2,227,Yes,Cloudy
ORD1177,Kolkata,DS-KL-02,Pet Supplies,27,Medium,4.1,4.3,3.6,No,In Stock,3.7,1022,No,Foggy
ORD1178,Ahmedabad,DS-AH-02,Snacks,47,High,5.0,3.7,2.3,No,In Stock,4.3,1018,No,Cloudy
ORD1179,Bangalore,DS-BL-01,Household,49,High,4.5,3.7,4.2,Yes,In Stock,6.7,1191,Yes,Foggy
ORD1180,Pune,DS-PN-03,Snacks,46,High,5.0,3.2,2.6,No,In Stock,7.2,2426,No,Clear
ORD1181,Mumbai,DS-MH-03,Baby Care,37,Medium,4.5,3.0,3.6,No,In Stock,9.9,1836,Yes,Clear
ORD1182,Chennai,DS-CH-02,Beverages,30,Low,4.3,4.2,1.9,No,In Stock,5.2,2249,No,Rainy
ORD1183,Bangalore,DS-BL-03,Grocery,23,Medium,3.7,5.0,1.6,No,In Stock,5.1,1047,No,Foggy
ORD1184,Ahmedabad,DS-AH-02,Household,16,Low,4.0,4.8,1.5,No,Low Stock,6.8,873,No,Cloudy
ORD1185,Hyderabad,DS-HY-03,Snacks,29,Medium,3.8,3.9,1.7,No,In Stock,4.9,319,No,Foggy
ORD1186,Hyderabad,DS-HY-02,Pet Supplies,32,Medium,4.4,4.3,3.1,No,In Stock,2.8,666,Yes,Rainy
ORD1187,Pune,DS-PN-03,Household,31,Medium,4.1,3.6,2.4,No,In Stock,2.6,1418,No,Foggy
ORD1188,Delhi,DS-DL-02,Personal Care,17,Low,4.1,4.3,2.6,No,In Stock,6.2,1932,No,Clear
ORD1189,Bangalore,DS-BL-04,Baby Care,37,Medium,3.8,3.8,3.5,No,Low Stock,9.6,2184,Yes,Rainy
ORD1190,Bangalore,DS-BL-02,Frozen Food,47,High,4.1,3.8,6.0,Yes,In Stock,7.8,1396,No,Foggy
ORD1191,Mumbai,DS-MH-03,Dairy,38,Medium,4.7,3.2,6.0,No,In Stock,3.4,2424,Yes,Foggy
ORD1192,Chennai,DS-CH-03,Grocery,48,High,4.6,3.5,2.0,Yes,Low Stock,3.4,556,No,Rainy
ORD1193,Ahmedabad,DS-AH-01,Dairy,17,Low,4.4,4.8,7.3,No,Low Stock,6.1,2380,No,Foggy
ORD1194,Pune,DS-PN-03,Baby Care,24,Low,3.9,4.9,4.9,No,In Stock,1.9,1885,No,Cloudy
ORD1195,Mumbai,DS-MH-03,Snacks,48,High,4.7,3.6,3.7,Yes,In Stock,3.4,1896,Yes,Rainy
ORD1196,Kolkata,DS-KL-02,Beverages,37,Medium,3.9,3.9,2.5,Yes,Out of Stock,1.0,581,Yes,Foggy
ORD1197,Ahmedabad,DS-AH-03,Personal Care,49,High,4.2,3.0,2.1,Yes,In Stock,8.7,1607,No,Rainy
ORD1198,Mumbai,DS-MH-01,Beverages,23,Medium,4.9,4.3,2.8,Yes,Out of Stock,10.0,740,No,Clear
ORD1199,Pune,DS-PN-01,Fruits & Vegetables,16,Low,4.1,4.9,1.7,No,In Stock,3.7,1159,No,Cloudy
ORD1200,Kolkata,DS-KL-03,Beverages,53,High,4.4,3.3,2.8,Yes,In Stock,2.1,1929,Yes,Rainy
ORD1201,Bangalore,DS-BL-04,Beverages,20,Low,4.1,4.4,2.5,No,Low Stock,8.9,785,Yes,Clear
ORD1202,Delhi,DS-DL-01,Pet Supplies,33,Medium,3.8,4.2,4.7,No,In Stock,5.0,1089,No,Cloudy
ORD1203,Delhi,DS-DL-01,Snacks,45,High,4.0,2.7,2.1,No,In Stock,6.0,1367,No,Cloudy
ORD1204,Mumbai,DS-MH-03,Dairy,33,Medium,3.6,4.4,7.8,No,In Stock,2.0,2246,Yes,Foggy
ORD1205,Delhi,DS-DL-01,Personal Care,55,High,4.0,3.5,4.1,No,Out of Stock,1.2,476,Yes,Foggy
ORD1206,Mumbai,DS-MH-03,Dairy,27,Low,4.4,4.0,5.7,No,Low Stock,1.7,2397,Yes,Foggy
ORD1207,Bangalore,DS-BL-03,Beverages,40,Medium,4.4,3.6,3.6,No,In Stock,3.8,1991,Yes,Rainy
ORD1208,Hyderabad,DS-HY-01,Dairy,22,Low,4.4,4.2,6.7,No,In Stock,2.6,251,No,Clear
ORD1209,Bangalore,DS-BL-01,Snacks,24,Medium,4.1,4.8,4.5,No,Low Stock,2.1,320,No,Cloudy
ORD1210,Chennai,DS-CH-02,Fruits & Vegetables,29,Medium,4.2,3.9,3.0,No,In Stock,4.3,1244,No,Clear
ORD1211,Delhi,DS-DL-01,Dairy,35,High,3.6,3.9,7.7,No,In Stock,9.6,344,Yes,Clear
